# Time in s;Angular velocity in rad/s
2.969999999999999929e+01;6.046328002359335585e+01
2.980000000000000071e+01;6.046326223830886448e+01
2.989999999999999858e+01;6.046492219819526071e+01
3.000000000000000000e+01;6.046601895740594301e+01
3.010000000000000142e+01;6.046505262361493038e+01
3.019999999999999929e+01;6.046570475071315087e+01
3.030000000000000071e+01;6.046497555404877744e+01
3.039999999999999858e+01;6.046206469581938592e+01
3.050000000000000000e+01;6.046209433796020249e+01
3.060000000000000142e+01;6.046580553399197555e+01
3.070000399999999985e+01;6.046583517613279213e+01
3.080000000000000071e+01;6.046816504840192152e+01
3.089999999999999858e+01;6.046985465042917696e+01
3.100000000000000000e+01;6.046940408988858451e+01
3.110000000000000142e+01;6.046969458286867649e+01
3.119999999999999929e+01;6.047360734545808469e+01
3.130000000000000071e+01;6.047516059363751140e+01
3.139999999999999858e+01;6.052603243572772840e+01
3.150000000000000000e+01;6.065766132629170926e+01
3.160000000000000142e+01;6.083766026225993784e+01
3.169999999999999929e+01;6.100758087034643040e+01
3.180000000000000071e+01;6.113331097488549659e+01
3.189999999999999858e+01;6.118276592264408720e+01
3.200000000000000000e+01;6.111244883617024470e+01
3.210000000000000142e+01;6.090434322226821706e+01
3.220000000000000284e+01;6.053234621172428120e+01
3.229999999999999716e+01;5.999035745195585179e+01
3.239999999999999858e+01;5.926624737893583728e+01
3.250000000000000000e+01;5.835816632307653151e+01
3.260000000000000142e+01;5.727612147112171215e+01
3.270000000000000284e+01;5.599890683552251147e+01
3.279999999999999716e+01;5.457207052987631357e+01
3.289999999999999858e+01;5.297224861878196123e+01
3.300000000000000000e+01;5.124380945863182291e+01
3.310000000000000142e+01;4.938323156309547812e+01
3.320000000000000284e+01;4.742763282091863886e+01
3.329999999999999716e+01;4.539266428245883844e+01
3.339999999999999858e+01;4.327766196376153118e+01
3.350000000000000000e+01;4.114342782409456589e+01
3.360000000000000142e+01;3.899354856249819079e+01
3.370000000000000284e+01;3.688271392880138677e+01
3.379999999999999716e+01;3.484101069594532163e+01
3.390000799999999970e+01;3.282053123592259425e+01
3.400000000000000000e+01;3.079980278191690601e+01
3.410000000000000142e+01;2.872870047378690828e+01
3.420000000000000284e+01;2.656324130297096175e+01
3.429999999999999716e+01;2.431151757391532442e+01
3.439999999999999858e+01;2.198278356298670388e+01
3.450000000000000000e+01;1.966351725183876198e+01
3.460000000000000142e+01;1.738650284822806213e+01
3.470000000000000284e+01;1.517185550892096657e+01
3.479999999999999716e+01;1.307817181790765915e+01
3.489999999999999858e+01;1.113531326785898656e+01
