# Time in s;Static pressure in hPa;Temperature in C;Differential pressure voltage as digital value in -
2.230859200000000087e+01;1.010260009765625000e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.235067599999999999e+01;1.010239990234375000e+03;2.639999961853027344e+01;1.560000000000000000e+02
2.239275599999999855e+01;1.010210021972656250e+03;2.639999961853027344e+01;1.570000000000000000e+02
2.243484799999999879e+01;1.010200012207031250e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.247694800000000015e+01;1.010099975585937500e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.251904800000000151e+01;1.010200012207031250e+03;2.639999961853027344e+01;1.530000000000000000e+02
2.256114399999999875e+01;1.010210021972656250e+03;2.639999961853027344e+01;1.550000000000000000e+02
2.260324400000000011e+01;1.010159973144531250e+03;2.639999961853027344e+01;1.550000000000000000e+02
2.264536000000000016e+01;1.010169982910156250e+03;2.639999961853027344e+01;1.550000000000000000e+02
2.268746799999999908e+01;1.010140014648437500e+03;2.639999961853027344e+01;1.550000000000000000e+02
2.272955599999999876e+01;1.010200012207031250e+03;2.639999961853027344e+01;1.550000000000000000e+02
2.277164399999999844e+01;1.010179992675781250e+03;2.639999961853027344e+01;1.560000000000000000e+02
2.281373999999999924e+01;1.010150024414062500e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.285584000000000060e+01;1.010140014648437500e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.289794399999999897e+01;1.010080017089843750e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.294002800000000164e+01;1.010200012207031250e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.298212799999999945e+01;1.010169982910156250e+03;2.639999961853027344e+01;1.510000000000000000e+02
2.302423999999999893e+01;1.010150024414062500e+03;2.639999961853027344e+01;1.510000000000000000e+02
2.306634400000000085e+01;1.010159973144531250e+03;2.639999961853027344e+01;1.500000000000000000e+02
2.310844399999999865e+01;1.010109985351562500e+03;2.639999961853027344e+01;1.510000000000000000e+02
2.315053199999999833e+01;1.010200012207031250e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.319261200000000045e+01;1.010150024414062500e+03;2.639999961853027344e+01;1.520000000000000000e+02
2.323471599999999881e+01;1.010219970703125000e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.327682400000000129e+01;1.010159973144531250e+03;2.639999961853027344e+01;1.520000000000000000e+02
2.331892399999999910e+01;1.010179992675781250e+03;2.639999961853027344e+01;1.530000000000000000e+02
2.336102800000000101e+01;1.010179992675781250e+03;2.639999961853027344e+01;1.520000000000000000e+02
2.340312399999999826e+01;1.010200012207031250e+03;2.639999961853027344e+01;1.500000000000000000e+02
2.344522399999999962e+01;1.010200012207031250e+03;2.639999961853027344e+01;1.520000000000000000e+02
2.348730799999999874e+01;1.010119995117187500e+03;2.639999961853027344e+01;1.530000000000000000e+02
2.352939599999999842e+01;1.010179992675781250e+03;2.639999961853027344e+01;1.530000000000000000e+02
2.357147199999999998e+01;1.010119995117187500e+03;2.639999961853027344e+01;1.530000000000000000e+02
2.361357999999999890e+01;1.010169982910156250e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.365568800000000138e+01;1.010179992675781250e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.369779199999999975e+01;1.010239990234375000e+03;2.639999961853027344e+01;1.510000000000000000e+02
2.373990799999999979e+01;1.010130004882812500e+03;2.639999961853027344e+01;1.510000000000000000e+02
2.378201599999999871e+01;1.010229980468750000e+03;2.639999961853027344e+01;1.510000000000000000e+02
2.382411199999999951e+01;1.010239990234375000e+03;2.639999961853027344e+01;1.530000000000000000e+02
2.386620800000000031e+01;1.010169982910156250e+03;2.639999961853027344e+01;1.520000000000000000e+02
2.390830400000000111e+01;1.010210021972656250e+03;2.639999961853027344e+01;1.530000000000000000e+02
2.395038399999999967e+01;1.010210021972656250e+03;2.639999961853027344e+01;1.530000000000000000e+02
2.399248000000000047e+01;1.010150024414062500e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.403458399999999884e+01;1.010200012207031250e+03;2.639999961853027344e+01;1.570000000000000000e+02
2.407666800000000151e+01;1.010210021972656250e+03;2.639999961853027344e+01;1.560000000000000000e+02
2.411878000000000100e+01;1.010200012207031250e+03;2.639999961853027344e+01;1.550000000000000000e+02
2.416087200000000124e+01;1.010200012207031250e+03;2.639999961853027344e+01;1.570000000000000000e+02
2.420295199999999980e+01;1.010239990234375000e+03;2.639999961853027344e+01;1.570000000000000000e+02
2.424506399999999928e+01;1.010219970703125000e+03;2.639999961853027344e+01;1.570000000000000000e+02
2.428716000000000008e+01;1.010210021972656250e+03;2.650000000000000000e+01;1.560000000000000000e+02
2.432924399999999920e+01;1.010169982910156250e+03;2.639999961853027344e+01;1.570000000000000000e+02
2.437135999999999925e+01;1.010210021972656250e+03;2.639999961853027344e+01;1.580000000000000000e+02
2.441346000000000060e+01;1.010200012207031250e+03;2.639999961853027344e+01;1.600000000000000000e+02
2.445554800000000029e+01;1.010229980468750000e+03;2.639999961853027344e+01;1.590000000000000000e+02
2.449765999999999977e+01;1.010200012207031250e+03;2.639999961853027344e+01;1.590000000000000000e+02
2.453976000000000113e+01;1.010169982910156250e+03;2.639999961853027344e+01;1.570000000000000000e+02
2.458185599999999837e+01;1.010229980468750000e+03;2.639999961853027344e+01;1.560000000000000000e+02
2.462396000000000029e+01;1.010200012207031250e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.466603599999999830e+01;1.010150024414062500e+03;2.639999961853027344e+01;1.550000000000000000e+02
2.470812400000000153e+01;1.010210021972656250e+03;2.639999961853027344e+01;1.560000000000000000e+02
2.475024000000000157e+01;1.010250000000000000e+03;2.639999961853027344e+01;1.530000000000000000e+02
2.479233999999999938e+01;1.010219970703125000e+03;2.639999961853027344e+01;1.520000000000000000e+02
2.483443199999999962e+01;1.010200012207031250e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.487652399999999986e+01;1.010179992675781250e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.491861600000000010e+01;1.010169982910156250e+03;2.639999961853027344e+01;1.550000000000000000e+02
2.496071999999999846e+01;1.010210021972656250e+03;2.639999961853027344e+01;1.540000000000000000e+02
2.500282800000000094e+01;1.010169982910156250e+03;2.639999961853027344e+01;1.550000000000000000e+02
